Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
20,5,17,2.16,"13,403.92","13,975.28",168.08,28.22,43.21,1.47,1017,319,698,31.37,1.46,0.41,10.77,5.27,-5.36,-5.36,0.96,0.32,0.41
20,3,30,2.00,"14,814.40","15,139.84",196.29,31.49,43.21,1.68,940,152,788,16.17,1.77,0.41,27.72,7.20,-4.37,-4.37,0.96,0.32,0.41
30,4,18,2.11,"12,902.40","13,721.60",158.05,26.99,43.59,1.37,990,263,727,26.57,1.51,0.41,13.51,3.72,-7.26,-7.26,0.96,0.32,0.41
15,7,16,2.14,"14,040.04","14,446.92",180.80,29.73,43.82,1.57,1004,395,609,39.34,1.41,0.41,8.07,5.46,-5.44,-5.44,0.96,0.32,0.41
25,5,17,2.11,"13,452.40","14,000.48",169.05,28.34,43.28,1.46,990,313,677,31.62,1.48,0.41,11.11,5.47,-5.18,-5.18,0.96,0.32,0.41
10,5,17,2.53,"13,976.88","14,321.12",179.54,29.56,43.91,1.54,1188,365,823,30.72,1.42,0.41,9.91,5.06,-5.84,-5.84,0.96,0.28,0.41
15,6,18,2.13,"14,288.76","14,591.76",185.78,30.30,43.82,1.60,1001,338,663,33.77,1.45,0.41,9.97,4.89,-6.19,-6.19,0.96,0.32,0.41
25,3,30,1.95,"14,725.40","15,050.84",194.51,31.29,43.28,1.65,915,149,766,16.28,1.78,0.41,28.14,7.56,-4.14,-4.14,0.96,0.33,0.41
25,3,29,1.97,"14,458.00","14,813.44",189.16,30.69,43.28,1.63,925,153,772,16.54,1.75,0.41,26.90,7.07,-4.34,-4.34,0.96,0.33,0.41
30,3,9,2.55,"10,596.96","10,596.96",111.94,20.84,43.59,1.02,1196,417,779,34.87,1.44,0.41,9.60,5.07,-4.12,-4.12,0.96,0.30,0.41
