Rolling Window,Stop Loss Points,Take Profit Points,Exposure Time (%),Final Account Balance ($),Equity Peak ($),Total Return (%),Annualized Return (%),Benchmark Return (%),Volatility (Annual %),Total Trades,Winning Trades,Losing Trades,Win Rate (%),Profit Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown (%),Average Drawdown (%),Max Drawdown Duration (days),Average Drawdown Duration (days),Sharpe Ratio Float
16,8,19,1.91,"15,257.72","15,635.56",205.15,32.47,43.48,1.81,897,350,547,39.02,1.45,0.40,9.02,4.06,-7.99,-7.99,0.96,0.34,0.4
12,4,16,2.51,"13,036.80","13,536.00",160.74,27.30,43.98,1.41,1180,331,849,28.05,1.45,0.40,11.33,5.30,-5.15,-5.15,0.96,0.29,0.4
16,6,19,2.06,"14,540.92","14,852.68",190.82,30.88,43.48,1.65,967,318,649,32.89,1.47,0.40,10.67,5.35,-5.77,-5.77,0.96,0.33,0.4
15,5,19,2.16,"13,886.40","14,309.12",177.73,29.37,43.82,1.58,1015,296,719,29.16,1.47,0.40,11.65,6.28,-4.68,-4.68,0.96,0.32,0.4
17,8,17,2.00,"14,484.40","14,612.24",189.69,30.75,43.38,1.69,940,386,554,41.06,1.42,0.40,7.89,4.76,-6.46,-6.46,0.96,0.33,0.4
11,4,13,2.70,"12,598.96","13,023.12",151.98,26.21,43.94,1.35,1271,407,864,32.02,1.41,0.40,9.58,5.96,-4.40,-4.40,0.96,0.28,0.4
17,5,16,2.23,"13,095.48","13,435.68",161.91,27.47,43.38,1.45,1048,339,709,32.35,1.44,0.40,9.99,5.21,-5.27,-5.27,0.96,0.31,0.4
13,8,18,2.04,"14,898.36","15,096.40",197.97,31.66,43.91,1.78,961,381,580,39.65,1.41,0.40,8.11,4.04,-7.83,-7.83,0.96,0.32,0.4
15,5,15,2.32,"13,072.16","13,587.68",161.44,27.41,43.82,1.44,1091,367,724,33.64,1.42,0.40,9.47,5.62,-4.88,-4.88,0.96,0.30,0.4
13,8,17,2.10,"14,796.12","15,061.76",195.92,31.43,43.91,1.72,987,404,583,40.93,1.41,0.40,7.77,5.29,-5.94,-5.94,0.96,0.32,0.4
20,3,8,2.70,"10,098.96","10,181.88",101.98,19.39,43.21,0.98,1271,468,803,36.82,1.39,0.40,8.13,4.54,-4.27,-4.27,0.96,0.28,0.4
12,3,8,2.96,"10,240.16","10,430.48",104.80,19.79,43.98,1.01,1391,506,885,36.38,1.36,0.40,7.65,5.75,-3.44,-3.44,0.96,0.26,0.4
11,4,15,2.61,"13,191.04","13,645.20",163.82,27.68,43.94,1.43,1229,361,868,29.37,1.44,0.40,10.94,5.18,-5.34,-5.34,0.96,0.28,0.4
11,4,14,2.66,"12,851.24","13,375.40",157.02,26.84,43.94,1.39,1249,382,867,30.58,1.43,0.40,10.20,4.66,-5.76,-5.76,0.96,0.28,0.4
16,5,19,2.14,"13,815.04","14,237.76",176.30,29.20,43.48,1.58,1004,293,711,29.18,1.47,0.40,11.68,6.46,-4.52,-4.52,0.96,0.32,0.4
10,4,19,2.54,"13,836.92","14,253.52",176.74,29.23,43.91,1.54,1192,297,895,24.92,1.46,0.40,12.81,4.77,-6.13,-6.13,0.96,0.28,0.4
15,8,19,1.93,"15,074.08","15,451.92",201.48,32.07,43.82,1.80,908,352,556,38.77,1.44,0.40,8.77,4.11,-7.81,-7.81,0.96,0.34,0.4
19,3,8,2.72,"10,079.04","10,161.96",101.58,19.33,43.44,0.98,1279,470,809,36.75,1.39,0.40,8.05,4.27,-4.53,-4.53,0.96,0.28,0.4
10,4,15,2.70,"13,006.44","13,460.60",160.13,27.23,43.91,1.42,1269,368,901,29.00,1.42,0.40,10.39,5.09,-5.35,-5.35,0.96,0.27,0.4
16,4,20,2.20,"13,899.08","14,419.52",177.98,29.40,43.48,1.54,1033,257,776,24.88,1.54,0.40,14.89,5.69,-5.16,-5.16,0.96,0.31,0.4
10,4,16,2.66,"13,171.24","13,591.68",163.42,27.63,43.91,1.44,1249,347,902,27.78,1.43,0.40,10.92,4.85,-5.70,-5.70,0.96,0.28,0.4
13,7,17,2.17,"14,271.44","14,754.56",185.43,30.24,43.91,1.64,1019,385,634,37.78,1.40,0.40,8.22,5.13,-5.90,-5.90,0.96,0.31,0.4
15,8,16,2.07,"14,193.48","14,507.88",183.87,30.08,43.82,1.65,973,411,562,42.24,1.40,0.40,7.36,4.84,-6.21,-6.21,0.96,0.32,0.4
14,8,18,2.02,"14,914.48","15,071.28",198.29,31.69,43.91,1.76,948,377,571,39.77,1.42,0.40,8.23,4.49,-7.06,-7.06,0.96,0.33,0.4
16,5,15,2.30,"13,034.56","13,550.08",160.69,27.32,43.48,1.45,1081,364,717,33.67,1.43,0.40,9.51,5.58,-4.89,-4.89,0.96,0.31,0.4
13,5,18,2.27,"13,315.68","13,768.60",166.31,27.98,43.91,1.54,1068,316,752,29.59,1.42,0.39,10.32,5.50,-5.09,-5.09,0.96,0.31,0.39
13,6,17,2.25,"13,923.08","14,291.16",178.46,29.43,43.91,1.61,1058,365,693,34.50,1.41,0.39,9.02,4.58,-6.43,-6.43,0.96,0.31,0.39
13,6,18,2.19,"13,831.56","14,228.28",176.63,29.22,43.91,1.63,1031,342,689,33.17,1.41,0.39,9.24,4.53,-6.45,-6.45,0.96,0.31,0.39
12,4,12,2.68,"12,136.36","12,400.52",142.73,25.03,43.98,1.31,1261,424,837,33.62,1.40,0.39,8.95,4.88,-5.13,-5.13,0.96,0.28,0.39
13,5,16,2.34,"12,964.76","13,384.04",159.30,27.13,43.91,1.49,1101,351,750,31.88,1.40,0.39,9.39,5.54,-4.90,-4.90,0.96,0.30,0.39
14,5,18,2.24,"13,390.52","13,790.96",167.81,28.16,43.91,1.54,1052,313,739,29.75,1.43,0.39,10.55,5.66,-4.97,-4.97,0.96,0.31,0.39
12,4,14,2.59,"12,498.44","13,091.36",149.97,25.96,43.98,1.37,1219,371,848,30.43,1.42,0.39,9.99,3.87,-6.70,-6.70,0.96,0.29,0.39
14,4,20,2.26,"13,784.36","14,064.80",175.69,29.10,43.91,1.58,1061,261,800,24.60,1.52,0.39,14.37,5.29,-5.51,-5.51,0.96,0.31,0.39
