Time,Price,Size,Exchange
2025-01-21 23:45:03.000000,6092.25,1.0,
2025-01-21 23:45:03.000000,6092.25,1.0,
2025-01-21 23:45:03.000000,6092.25,1.0,
2025-01-21 23:45:03.000000,6092.25,1.0,
2025-01-21 23:45:03.000000,6092.25,1.0,
2025-01-21 23:45:04.000000,6092.25,1.0,
2025-01-21 23:45:10.000000,6092.25,2.0,
2025-01-21 23:45:10.000000,6092.25,1.0,
2025-01-21 23:45:13.000000,6092.5,6.0,
2025-01-21 23:45:13.000000,6092.5,4.0,
2025-01-21 23:45:13.000000,6092.5,2.0,
2025-01-21 23:45:15.000000,6092.75,5.0,
2025-01-21 23:45:15.000000,6093.0,2.0,
2025-01-21 23:45:16.000000,6093.0,1.0,
2025-01-21 23:45:16.000000,6093.0,5.0,
2025-01-21 23:45:16.000000,6093.0,1.0,
2025-01-21 23:45:16.000000,6093.0,1.0,
2025-01-21 23:45:17.000000,6093.0,1.0,
2025-01-21 23:45:17.000000,6092.75,1.0,
2025-01-21 23:45:19.000000,6092.75,1.0,
2025-01-21 23:45:19.000000,6092.75,1.0,
2025-01-21 23:45:19.000000,6092.75,3.0,
2025-01-21 23:45:19.000000,6092.75,1.0,
2025-01-21 23:45:20.000000,6092.75,1.0,
2025-01-21 23:45:20.000000,6092.75,1.0,
2025-01-21 23:45:24.000000,6092.75,1.0,
2025-01-21 23:45:24.000000,6092.5,1.0,
2025-01-21 23:45:30.000000,6092.5,1.0,
2025-01-21 23:45:30.000000,6092.5,1.0,
2025-01-21 23:45:30.000000,6092.5,1.0,
2025-01-21 23:45:30.000000,6092.5,1.0,
2025-01-21 23:45:30.000000,6092.5,1.0,
2025-01-21 23:45:30.000000,6092.5,1.0,
2025-01-21 23:45:31.000000,6092.5,3.0,
2025-01-21 23:45:32.000000,6092.75,10.0,
2025-01-21 23:45:32.000000,6092.75,1.0,
2025-01-21 23:45:32.000000,6092.75,1.0,
2025-01-21 23:45:32.000000,6092.75,2.0,
2025-01-21 23:45:32.000000,6093.0,3.0,
2025-01-21 23:45:32.000000,6093.0,1.0,
2025-01-21 23:45:33.000000,6093.0,2.0,
2025-01-21 23:45:34.000000,6093.25,2.0,
2025-01-21 23:45:34.000000,6093.25,4.0,
2025-01-21 23:45:35.000000,6093.5,2.0,
2025-01-21 23:45:35.000000,6093.5,5.0,
2025-01-21 23:45:36.000000,6093.5,1.0,
2025-01-21 23:45:39.000000,6093.5,1.0,
2025-01-21 23:45:40.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.5,2.0,
2025-01-21 23:45:44.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.5,3.0,
2025-01-21 23:45:44.000000,6093.5,4.0,
2025-01-21 23:45:44.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.5,1.0,
2025-01-21 23:45:44.000000,6093.75,1.0,
2025-01-21 23:45:56.000000,6093.75,1.0,
2025-01-21 23:45:56.000000,6093.75,2.0,
2025-01-21 23:45:56.000000,6093.75,5.0,
2025-01-21 23:45:56.000000,6093.75,1.0,
2025-01-21 23:45:56.000000,6093.75,1.0,
2025-01-21 23:45:56.000000,6093.75,1.0,
2025-01-21 23:46:00.000000,6093.75,1.0,
2025-01-21 23:46:00.000000,6093.75,1.0,
2025-01-21 23:46:00.000000,6093.75,1.0,
2025-01-21 23:46:00.000000,6093.75,1.0,
2025-01-21 23:46:00.000000,6094.0,1.0,
2025-01-21 23:46:00.000000,6094.0,2.0,
2025-01-21 23:46:00.000000,6094.0,7.0,
2025-01-21 23:46:01.000000,6094.0,2.0,
2025-01-21 23:46:01.000000,6094.0,21.0,
2025-01-21 23:46:01.000000,6094.25,8.0,
2025-01-21 23:46:01.000000,6094.25,3.0,
2025-01-21 23:46:01.000000,6094.25,1.0,
2025-01-21 23:46:01.000000,6094.25,1.0,
2025-01-21 23:46:06.000000,6094.25,6.0,
2025-01-21 23:46:06.000000,6094.25,6.0,
2025-01-21 23:46:06.000000,6094.25,1.0,
2025-01-21 23:46:08.000000,6094.25,45.0,
2025-01-21 23:46:08.000000,6094.25,2.0,
2025-01-21 23:46:08.000000,6094.25,1.0,
2025-01-21 23:46:08.000000,6094.25,6.0,
2025-01-21 23:46:11.000000,6094.25,1.0,
2025-01-21 23:46:11.000000,6094.25,8.0,
2025-01-21 23:46:13.000000,6094.25,1.0,
2025-01-21 23:46:14.000000,6094.25,8.0,
2025-01-21 23:46:14.000000,6094.25,1.0,
2025-01-21 23:46:14.000000,6094.25,1.0,
2025-01-21 23:46:14.000000,6094.25,2.0,
2025-01-21 23:46:16.000000,6094.25,2.0,
2025-01-21 23:46:20.000000,6094.25,1.0,
2025-01-21 23:46:20.000000,6094.25,2.0,
2025-01-21 23:46:22.000000,6094.25,2.0,
2025-01-21 23:46:23.000000,6094.25,2.0,
2025-01-21 23:46:23.000000,6094.25,1.0,
2025-01-21 23:46:29.000000,6094.5,5.0,
2025-01-21 23:46:29.000000,6094.5,10.0,
2025-01-21 23:46:29.000000,6094.75,1.0,
2025-01-21 23:46:29.000000,6094.75,5.0,
2025-01-21 23:46:30.000000,6094.5,1.0,
2025-01-21 23:46:30.000000,6094.5,1.0,
2025-01-21 23:46:37.000000,6094.75,10.0,
2025-01-21 23:46:37.000000,6094.75,7.0,
2025-01-21 23:46:37.000000,6094.75,1.0,
2025-01-21 23:46:38.000000,6094.75,1.0,
2025-01-21 23:46:38.000000,6095.0,1.0,
2025-01-21 23:46:38.000000,6095.0,1.0,
2025-01-21 23:46:45.000000,6095.0,1.0,
2025-01-21 23:46:47.000000,6095.0,1.0,
2025-01-21 23:46:48.000000,6094.75,1.0,
2025-01-21 23:46:52.000000,6094.75,1.0,
2025-01-21 23:46:53.000000,6095.0,20.0,
2025-01-21 23:46:53.000000,6095.0,1.0,
2025-01-21 23:46:53.000000,6095.0,1.0,
2025-01-21 23:46:53.000000,6095.0,2.0,
2025-01-21 23:46:54.000000,6095.0,1.0,
2025-01-21 23:46:54.000000,6095.0,4.0,
2025-01-21 23:46:57.000000,6095.0,1.0,
2025-01-21 23:46:59.000000,6095.25,1.0,
2025-01-21 23:46:59.000000,6095.25,1.0,
2025-01-21 23:46:59.000000,6095.25,1.0,
2025-01-21 23:46:59.000000,6095.25,1.0,
2025-01-21 23:46:59.000000,6095.25,7.0,
2025-01-21 23:47:00.000000,6095.25,1.0,
2025-01-21 23:47:00.000000,6095.25,2.0,
2025-01-21 23:47:00.000000,6095.25,1.0,
2025-01-21 23:47:01.000000,6095.5,5.0,
2025-01-21 23:47:01.000000,6095.5,1.0,
2025-01-21 23:47:02.000000,6095.0,1.0,
2025-01-21 23:47:03.000000,6095.0,17.0,
2025-01-21 23:47:03.000000,6094.75,3.0,
2025-01-21 23:47:03.000000,6095.0,1.0,
2025-01-21 23:47:03.000000,6095.0,1.0,
2025-01-21 23:47:03.000000,6095.0,1.0,
2025-01-21 23:47:03.000000,6095.0,2.0,
2025-01-21 23:47:04.000000,6094.75,1.0,
2025-01-21 23:47:04.000000,6095.0,1.0,
2025-01-21 23:47:04.000000,6095.0,2.0,
2025-01-21 23:47:04.000000,6094.75,1.0,
2025-01-21 23:47:04.000000,6094.75,1.0,
2025-01-21 23:47:04.000000,6095.0,1.0,
2025-01-21 23:47:05.000000,6095.0,2.0,
2025-01-21 23:47:10.000000,6095.0,7.0,
2025-01-21 23:47:10.000000,6095.25,7.0,
2025-01-21 23:47:10.000000,6095.5,3.0,
2025-01-21 23:47:10.000000,6095.25,1.0,
2025-01-21 23:47:10.000000,6095.25,1.0,
2025-01-21 23:47:12.000000,6095.25,1.0,
2025-01-21 23:47:12.000000,6095.25,1.0,
2025-01-21 23:47:12.000000,6095.5,1.0,
2025-01-21 23:47:13.000000,6095.5,1.0,
2025-01-21 23:47:14.000000,6095.5,1.0,
2025-01-21 23:47:15.000000,6095.5,9.0,
2025-01-21 23:47:16.000000,6095.5,2.0,
2025-01-21 23:47:16.000000,6095.5,2.0,
2025-01-21 23:47:16.000000,6095.5,1.0,
2025-01-21 23:47:16.000000,6095.5,1.0,
2025-01-21 23:47:16.000000,6095.5,1.0,
2025-01-21 23:47:16.000000,6095.5,1.0,
2025-01-21 23:47:16.000000,6095.5,4.0,
2025-01-21 23:47:18.000000,6095.5,2.0,
2025-01-21 23:47:18.000000,6095.5,1.0,
2025-01-21 23:47:19.000000,6095.5,2.0,
2025-01-21 23:47:19.000000,6095.5,2.0,
2025-01-21 23:47:20.000000,6095.5,1.0,
2025-01-21 23:47:20.000000,6095.5,1.0,
2025-01-21 23:47:21.000000,6095.5,1.0,
2025-01-21 23:47:21.000000,6095.5,1.0,
2025-01-21 23:47:21.000000,6095.5,1.0,
2025-01-21 23:47:21.000000,6095.5,1.0,
2025-01-21 23:47:22.000000,6095.5,1.0,
2025-01-21 23:47:24.000000,6095.75,2.0,
2025-01-21 23:47:24.000000,6095.75,1.0,
2025-01-21 23:47:24.000000,6095.75,1.0,
2025-01-21 23:47:26.000000,6095.75,1.0,
2025-01-21 23:47:36.000000,6095.5,1.0,
2025-01-21 23:47:48.000000,6095.5,1.0,
2025-01-21 23:47:48.000000,6095.5,2.0,
2025-01-21 23:47:48.000000,6095.5,4.0,
2025-01-21 23:47:48.000000,6095.5,7.0,
2025-01-21 23:47:52.000000,6095.5,1.0,
2025-01-21 23:47:52.000000,6095.5,9.0,
2025-01-21 23:47:54.000000,6095.5,1.0,
2025-01-21 23:47:54.000000,6095.5,2.0,
2025-01-21 23:47:55.000000,6095.5,1.0,
